Gene	coefficient
(Intercept)	0.210406662942993
CD248	-0.103045034169904
HSPB1	-0.0138692098268397
SCGB3A1	-0.0248088568805273
CRYBB2	-0.0041637843000233
CD79B	-0.0567035436306013
HBZ	-0.0229851227115131
